;"Alter;Einkommen;Preis;Geschlecht;Zeit;KundeNr"
996;"65;60902.0;114790.5;1.0;52.0;K0613"
997;"69;67799.0;99345.38;0.0;55.0;K0739"
998;"67;81679.0;124223.23;0.0;57.0;K0961"
999;"67;74189.0;118596.14;0.0;44.0;K0547"
1000;"60;70775.0;101574.15;0.0;64.0;K0987"
1001;"34;52759.0;77110.67;1.0;53.0;K0726"
1002;"58;68451.0;114851.71;1.0;45.0;K1097"
1003;"68;84609.0;123507.33;1.0;54.0;K0684"
1004;"37;48532.0;68786.85;0.0;32.0;K0099"
1005;"49;69675.0;92342.53;1.0;51.0;K0805"
1006;"35;24355.0;55167.61;1.0;32.0;K0728"
1007;"30;36552.0;51200.08;0.0;21.0;K0574"
1008;"34;44113.0;69211.99;1.0;34.0;K0407"
1009;"65;68189.0;97143.57;0.0;36.0;K0503"
1010;"64;77668.0;116246.65;0.0;63.0;K0048"
1011;"36;24397.0;32833.88;0.0;38.0;K0033"
1012;"37;44420.0;51519.02;1.0;26.0;K0930"
1013;"52;60063.0;109287.55;1.0;31.0;K0780"
1014;"66;94518.0;119618.58;0.0;62.0;K0840"
1015;"40;55005.0;76273.78;1.0;47.0;K0201"
1016;"44;43460.0;71339.81;0.0;45.0;K0135"
1017;"57;83306.0;112854.14;1.0;53.0;K0028"
1018;"38;55278.0;95883.59;1.0;46.0;K0041"
1019;"38;54775.0;75261.51;1.0;40.0;K1018"
1020;"64;89881.0;120551.98;0.0;55.0;K0231"
1021;"41;57422.0;75053.42;1.0;47.0;K0490"
1022;"37;30511.0;63585.76;0.0;29.0;K0773"
1023;"57;66962.0;103890.1;1.0;47.0;K0379"
1024;"63;65128.0;111253.56;1.0;42.0;K0289"
1025;"66;80562.0;121433.27;1.0;48.0;K0419"
1026;"30;23168.0;38984.74;1.0;23.0;K0392"
1027;"70;76112.0;107199.46;1.0;60.0;K0593"
1028;"56;65663.0;107678.5;1.0;55.0;K0648"
1029;"52;77888.0;105968.69;1.0;59.0;K0521"
1030;"44;47332.0;84281.71;0.0;36.0;K0065"
1031;"32;43022.0;50811.55;1.0;36.0;K0015"
1032;"54;65610.0;78467.12;1.0;59.0;K0493"
1033;"55;69487.0;93455.52;1.0;50.0;K0380"
1034;"55;76066.0;112809.53;0.0;52.0;K0188"
1035;"56;76011.0;125585.18;1.0;63.0;K0764"
1036;"36;51478.0;90484.89;1.0;32.0;K0217"
1037;"44;52628.0;80768.14;0.0;47.0;K0792"
1038;"39;50202.0;86793.36;1.0;30.0;K0879"
1039;"54;58380.0;89265.3;1.0;45.0;K0338"
1040;"39;57156.0;77986.08;1.0;39.0;K0720"
1041;"48;51210.0;64363.81;1.0;29.0;K0296"
1042;"60;57664.0;95386.14;0.0;51.0;K1017"
1043;"31;36628.0;58605.27;0.0;33.0;K0456"
1044;"69;77676.0;126864.71;1.0;62.0;K0816"
1045;"33;38152.0;68310.6;0.0;26.0;K0270"
1046;"69;65252.0;105771.99;1.0;42.0;K0996"
1047;"45;49088.0;80749.79;0.0;39.0;K0202"
1048;"56;66685.0;110938.59;1.0;55.0;K0162"
1049;"42;22279.0;61502.53;1.0;20.0;K0730"
1050;"66;85534.0;122017.62;1.0;59.0;K0402"
1051;"63;81261.0;109555.23;1.0;48.0;K0703"
1052;"32;26878.0;50126.6;1.0;36.0;K0566"
1053;"70;84074.0;144045.32;1.0;57.0;K1022"
1054;"30;52514.0;76020.69;1.0;27.0;K1026"
1055;"45;54276.0;88859.4;1.0;43.0;K0206"
1056;"38;48364.0;85707.42;1.0;35.0;K0035"
1057;"51;69957.0;102053.63;0.0;51.0;K0776"
1058;"36;40554.0;68345.72;1.0;24.0;K0509"
1059;"57;78835.0;112307.45;1.0;55.0;K1091"
1060;"62;71666.0;107104.52;1.0;59.0;K0092"
1061;"59;79283.0;105625.52;1.0;59.0;K0898"
1062;"68;61693.0;111218.49;0.0;52.0;K0565"
1063;"43;57981.0;96036.67;0.0;55.0;K0777"
1064;"70;80732.0;116569.27;1.0;52.0;K0242"
1065;"53;70398.0;102062.3;0.0;48.0;K0014"
1066;"32;53135.0;81152.36;1.0;53.0;K0316"
1067;"40;53679.0;77410.61;1.0;41.0;K0601"
1068;"63;82564.0;124742.75;1.0;59.0;K0388"
1069;"44;47834.0;69642.73;1.0;44.0;K0167"
1070;"65;62961.0;106364.96;1.0;56.0;K0841"
1071;"31;27501.0;39695.86;1.0;22.0;K0021"
1072;"51;61555.0;101804.21;0.0;36.0;K0647"
1073;"40;42128.0;78281.31;1.0;40.0;K0832"
1074;"55;45218.0;69467.58;1.0;34.0;K0563"
1075;"48;43335.0;67948.2;1.0;27.0;K1078"
1076;"32;43583.0;75274.62;0.0;37.0;K0687"
1077;"56;42003.0;84471.99;0.0;43.0;K0958"
1078;"35;41741.0;52271.78;0.0;38.0;K0190"
1079;"65;79589.0;117896.45;0.0;57.0;K0976"
1080;"40;76423.0;101008.49;0.0;51.0;K0700"
1081;"43;59012.0;91000.76;1.0;44.0;K0511"
1082;"59;-62840.374523;92837.59;0.0;46.0;K1083"
1083;"65;58270.0;85983.74;1.0;38.0;K0475"
1084;"37;57504.0;78406.83;1.0;40.0;K0857"
1085;"48;59014.0;97451.48;1.0;48.0;K0748"
1086;"65;70212.0;102160.74;1.0;45.0;K0253"
1087;"50;49026.0;79076.93;0.0;36.0;K0022"
1088;"55;61750.0;93666.44;1.0;52.0;K0460"
1089;"32;34846.0;48990.25;0.0;25.0;K0277"
1090;"59;68568.0;95476.41;0.0;41.0;K0956"
1091;"30;62318.0;93943.58;1.0;50.0;K0386"
1092;"54;84027.0;117270.4;1.0;58.0;K0806"
1093;"30;29264.0;54886.03;1.0;21.0;K0344"
1094;"55;71467.0;89954.18;1.0;59.0;K0770"
1095;"59;68825.0;83303.72;0.0;60.0;K0131"
1096;"66;58457.0;79415.76;1.0;35.0;K0872"
1097;"46;46384.0;82034.0;1.0;37.0;K0088"
1098;"69;96516.0;142208.17;1.0;64.0;K0331"
1099;"70;69581.0;103751.58;1.0;51.0;K0467"
1100;"38;48301.0;64230.98;1.0;33.0;K0122"
1101;"67;63547.0;103123.57;1.0;41.0;K1045"
1102;"37;32686.0;49215.87;1.0;36.0;K1096"
1103;"55;71240.0;106132.59;1.0;49.0;K0861"
